
 name                               value               environments                        created    
 CALENDLY_WEBHOOK_SIGNING_KEY       Encrypted           Development, Preview, Production    53m ago    
 CALENDLY_CLIENT_ID                 Encrypted           Development, Preview, Production    53m ago    
 CALENDLY_CLIENT_SECRET             Encrypted           Development, Preview, Production    53m ago    
 DAILY_API_KEY                      Encrypted           Production, Preview, Development    5d ago     
 STRIPE_SECRET_KEY                  Encrypted           Development, Preview, Production    5d ago     
 NEXT_PUBLIC_DAILY_DOMAIN           Encrypted           Development, Preview, Production    5d ago     
 VITE_VAPID_PUBLIC_KEY              Encrypted           Development, Preview, Production    10d ago    
 VAPID_PRIVATE_KEY                  Encrypted           Development, Preview, Production    10d ago    
 NEXT_PUBLIC_VAPID_PUBLIC_KEY       Encrypted           Development, Preview, Production    10d ago    
 NEXT_PUBLIC_GEMINI_API_KEY         Encrypted           Production, Preview, Development    10d ago    
 NEXT_PUBLIC_SUPABASE_ANON_KEY      Encrypted           Development                         12d ago    
 NEXT_PUBLIC_SUPABASE_URL           Encrypted           Development                         12d ago    
 NEXT_PUBLIC_SUPABASE_ANON_KEY      Encrypted           Production                          12d ago    
 NEXT_PUBLIC_SUPABASE_URL           Encrypted           Production                          12d ago    
 superbase_url                      Encrypted           Development, Preview, Production    12d ago    
 superbase_anon_public_key          Encrypted           Development, Preview, Production    12d ago    
 superbase_service_key              Encrypted           Development, Preview, Production    12d ago    

